Статус;Дата изменения;Полное название организации;Наименование социальной задачи;Выберите направление социальной задачи ( До 3х напрвлений);Опишите социальную задачу, которую должен решить обучающийся, и как эта задача связана с деятельностью организации;Опишите целевую аудиторию благополучателей решаемой социальной задачи;Опишите предполагаемый механизм действий в ходе выполнения социальной задачи;Желаемый продукт по итогам выполнения социальной задачи;C10;C11;C12;C13
Отклонена;2025-02-18;"Муниципальное бюджетное общеобразовательное учреждение """"Средняя школа №3 г.Навашино""""";"МБОУ ""СШ №3 г. Навашино""";"Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";"В связи с избытком информационных ресурсов в современном мире, все большее количество детей и подростков перестают анализировать контент. В результате мы получаем поколение, для которого литература и кинематограф становятся опасными, потому что тинейджеры не способны понять заложенный смысл в произведении, из-за чего они делают для себя неправильные выводы. Для школьников эта проблема особенно актуальна, ведь в будущем им придется сдавать ЕГЭ, в котором нужно правильно прописать смысл литературного или кинематографического произведения.   В качестве примера, можно взять классическое произведение ""Преступление и наказание"". Сюжет этого романа достаточно прост: студент Р. Раскольников убивает старуху-процентщицу, признается в совершенном деянии полиции и отбывает наказание. Большинство школьников ответят, что Родион сделал это, чтобы ограбить женщину, так как он был очень беден, но это в корне не верно. Раскольников сделал это, чтобы проверить свою теорию. Но, к сожалению, подростки не понимают этот скрытый смысл произведения, так как не хотят погружаться в него.  Нужно, чтобы участники программы обучение служением создали контент по разбору смыслов, заложенных в произведениях, чтобы развивать навыки анализа у целевой аудитории";Молодежь в возрасте от 13 до 17 лет - подростки, обучающиеся в школе;1. Определение произведений литературы и кинематографа, которые будут интересны целевой аудитории - молодёжи в возрасте от 13 до 17 лет.  2. Изучение этих произведений - определение тем и содержания контента.  3. Создание контента - минимальная работа состоит в создании контента: текст + картинка, при желании можно создавать видеоконтент, опросы, конкурсы;"Публикации в социальной сети ВКонтакте на странице МБОУ ""СШ №3 г. Навашино"" Нижегородской области - не менее 10 штук. Публикации включают в себя текстовый и фото/видео контент на тему изучения значения и смысла произведений литературы и кинематографа.";;;;
Отклонена;2025-02-18;"Комитет экологии и природопользования администрации городского округа """"Город Йошкар-Ола""""";Чистая набережная - Зеленый город;"Урбанистика. Проекты, связанные с планированием и развитием городской среды, улучшением городской инфраструктуры и созданием комфортных условий для жизни в городе; Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения; Решения для развития региона. Проекты по созданию и развитию инфраструктуры, улучшению условий жизни в регионе, разработке программ для поддержки социально-экономического развития";Сохранение экосистемы и эстетического вида акватории реки Малая Кокшага, в районе туристической зоны города Йошкар-Ола;Жители города Йошкар-Ола и туристы;Проведение мероприятия экологической направленности, а именно: организация субботников по уборке мусора на берегах реки совместно с организациями города Йошкар-Ола, учебными заведениями, мэрией.;Обеспечение устойчивого улучшения состояния экосистемы реки Малая Кокшага и сохранение ее эстетического вида.;;;;
Отклонена;2025-02-18;Автономная некоммерческая организация по социальной адаптации людей с ограниченными возможностями здоровья и инвалидностью «Импульс»;Оказание содействия в социальной адаптации людей с ограниченными возможностями здоровья и инвалидностью;"Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения";"Организация АТО ""Импульс"" создает условия для социальной адаптации людей с ограниченными возможностями здоровья и инвалидностью на территории города Липецка. Основной задачей обучающегося станет содействие в адаптации людей с ОВЗ и инвалидностью в рамках общественных мероприятий";Молодежь с ограниченными возможностями здоровья от 14 до 35 лет, помощь участникам и семьям СВО, помощь ветеранам войны и пожилым гражданам, помощь тяжело больным инвалидам;Привлечение волонтеров для решения социально-важных задач благополучателей: покупка продуктов, решение жилищно-коммунальных вопросов, помощь с передвижением (больницы, поликлиники, магазины), посещение культурных объектов;Повышение уровня социальной активности молодежи, более трехсот оказанных услуг жителям города Липецка, находящихся в трудной ситуации;;;;
Отклонена;2025-02-18;Ассоциация студентов и выпускников Вологодского государственного университета;Стратегия развития Ассоциации студентов и выпускников ВоГУ;Менеджмент и управление проектами. Проекты по планированию, организации и управлению бизнес-процессами, разработке стратегий и системы управления и оптимизации рабочих процессов;Определение миссии НКО и ценностей, которые лежат в ее основе.;Студенты и выпускники Вологодского государственного университета.;Стратегия развития должна включать: 1. Проведение анализа внешней и внутренней среды, включая SWOT-анализ , чтобы понять текущую обстановку. 2. Установление конкретных, измеримых, достижимых, релевантных и ограниченных по времени (SMART) целей, а также определение ключевых показателей эффективности (KPI), которые позволят отслеживать прогресс. 3. Определение целевой аудитории и стейкхолдеров, включая доноров, партнеров, и членов организации. 4. Выбор конкретных областей деятельности и проектов, которые наилучшим образом соответствуют миссии и целям НКО. 5. Разработка финансового плана, определение источников финансирования, а также стратегии по увеличению доходов. 6. Планирование коммуникационных мероприятий для увеличения осведомленности и привлечения поддержки от общественности. 7. Идентификация потенциальных рисков и разработка стратегий их минимизации или управления.;Стратегия развития АСиВ ВоГУ - документ, который определяет долгосрочное видение и цели организации, а также план действий для их достижения.;;;;
Отклонена;2025-02-18;"Курская региональная общественная общеобразовательная организация """"Диалог""""";Помощь в организации художественных мастер-классов;"Искусство, дизайн. Проекты, связанные с созданием произведений искусства в живописи, графике, кино и телевидении, музыке, а также с дизайном интерьеров, разработкой ландшафтного дизайна, оформлением общественных пространств; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";Организация мастер-классов по изобразительному творчеству к 23 февраля;Младшие школьники;Помощь в проведении МК;Рисунок, поделка, коллаж;;;;
Отклонена;2025-02-18;"Государственное бюджетное общеобразовательное учреждение Республики Марий Эл """"Савинская школа-интернат""""""""";"""Мастерская радости"". Приобщение к творчеству учащихся с ограниченными возможностями здоровья";Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах;В современном мире увеличивается численность детей с ограниченными возможностями здоровья, в том числе с нарушениями зрения, которые испытывают трудности в реализации своего творческого потенциала.  Одним из эффективных приемов и методов  приобщения детей к творчеству является  проведение мастер- классов по хореографии, декоративно-прикладному искусству, вокалу.  Хореография и вокал помогают слабовидящим детям развивать не только двигательную активность, которая положительно влияет на их физическое состояние, но и активно участвует в воспитании и формировании личности ребенка, закаляет характер и силу воли. Мастер-классы по декоративно-прикладного искусству  для незрячих и слабовидящих школьников —  это общение с учащимися, в ходе которого они вовлекаются в процесс совместного мышления, совместной деятельности, это сотворчество. Они создают наиболее благоприятные условия для формирования художественной и духовной культуры, эстетических чувств и изобразительных навыков ребенка с нарушением зрения.;Учащиеся с нарушениями зрения;Определение и согласование социальной задачи с заказчиком.  Подготовка материалов для проведения мастер-классов со школьниками.  Проведение студентами мастер-классов по хореографии, декоративно-прикладному искусству, вокалу.;Подготовка и проведение итогового творческого выступления школьников;;;;
Отклонена;2025-02-18;"Муниципальное общеобразовательное учреждение """"Средняя общеобразовательная школа №20 города Йошкар-Олы""""";Stage Stars: английский театр;"Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями; Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения";Социализация школьников и повышение качества обученности в области иностранных языков в ходе работы театрального кружка (на английском языке) для школьников, в том числе из малообеспеченных семей. Это способствует равенству в образовательных возможностях.  Обучающиеся (студенты)  должны создать поддерживающую атмосферу на занятиях, что поможет школьникам преодолеть психологические барьеры общения. Групповые занятия по иностранному языку через театральную постановку способствуют развитию уверенности в себе и улучшению самооценки у учащихся.;Учащиеся 6 классов МОУ «Средняя общеобразовательная школа №20 г. Йошкар-Олы»;"Реализовать мероприятия по изучению английского языка и культурного обмена для учащихся общеобразовательной школы в формате работы театрального кружка (чтение литературных произведений, постановка пьес, участие в творческих мероприятиях на английском языке) - практика языка: регулярные встречи (1-2 раза в неделю) для практики в неформальной обстановке; - культурно-творческие мероприятия по лингвострановедению: организация праздников, посвященных культуре страны изучаемого языка (например, День английского языка, конкурс постановок на английском языке (в т.ч. городского уровня) и т.д.). - проектная работа: работа школьников под руководством студентов, включающая  подготовку к реализации театральной постановки; -разработать и провести анкетирование/ собеседование (критерии: успеваемость и уровень социализации школьников) на начальном этапе и в конце проекта; -публиковать в соцсетях (на странице школы и вуза) отклики о проведенных мероприятиях.";План мероприятий Готовая творческая постановка учащихся  Анализ и оценка реализованных мероприятий студентами и школьниками Результаты анкетирования (по успеваемости и социализации школьников) до реализации проекта и после реализации) Не менее 10 публикаций в соцсетях в ходе реализации проекта Статья в сборнике студенческих работ об опыте реализации социального проекта;;;;
Отклонена;2025-02-18;"Государственное бюджетное образовательное учреждение Республики Марий Эл """"Центр психолого-педагогической,медицинской и социальной помощи """"Детство""""";«Интерактивный мир: доступное обучение для всех!»;"Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения; Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах";В Республике Марий Эл существует множество проблем, касающихся детей с задержкой психического развития (дети с задержкой речевого развития, с задержкой психического развития и аутизм). Часто такие дети сталкиваются с недостаточным вниманием со стороны образовательных учреждений, что выражается в отсутствии необходимых адаптированных программ и ресурсов. Мало информации, доступной для родителей детей с нарушениями развития, что ограничивает их возможности для поиска адекватной помощи и поддержки. В результате, эти дети могут испытывать сложности в социализации и интеграции в общество, что, в свою очередь, негативно сказывается на их развитии и благосостоянии.;Основная группа, на которую направлены все усилия - это дети посещающие  Центр психологической поддержки «Детство» которые нуждаются в адаптированных методах обучения для полноценного участия в образовательном процессе и социальной жизни через физическую культуру. Так же студенты ФФКСиТ, которые будут разрабатывать и опробировать  программы занятий.;1.Обучающиеся знакомятся с социальным партнером, посещают его для ознакомления с материально-техническим состоянием организации. 2. Разработка конспектов занятий.   Проведение занятий на базе ФГБОУ ВО «Марийский государственный университет» в лаборатории цифровых технологий физического развития и коррекции (интерактивный пол, интерактивная стена, интерактивный скалодром).;10 конспектов занятий, проведено 5 занятий.;;;;
Отклонена;2025-02-18;"Общество с ограниченной ответственностью """"Альянс талантов""""";Повышение узнаваемости бренда Альянса талантов и повышение лояльности родительского сообщества;Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия;"С конца 2024 года в России действует национальный проект «Молодежь и дети», который направлен на создание возможностей для развития талантов и самореализации молодых людей, воспитания ответственного и высоконравственного человека.  ООО «Альянс талантов» входит в реестр социальных предприятий Челябинской области, осуществляющих культурно-просветительскую деятельность, направленную на достижение общественно полезных целей и способствующую решению социальных проблем общества. За 4 года реализовано более 66 творческих проектов в более чем 50 регионах России, посвященных выявлению и поддержке талантливых исполнителей и популяризации искусства среди детей и молодежи. Основная деятельность ООО «Альянс талантов» – организация и проведение различных конкурсов, а также творческих встреч, мастер-классов и лекций (в том числе, в онлайн формате), способствующих профессиональной ориентации молодежи в сфере культуры и искусства. Победители конкурсов «Альянса талантов» выступают на лучших концертных площадках страны и на телевидении. Целевая аудитория «Альянса талантов» – дети и молодежь, желающие попробовать свои силы в различных направлениях искусства (преимущественно, в вокале и хореографии).  Социальные задачи, которые решает «Альянс талантов» своей деятельностью:  – предоставление необходимых ресурсов и равный доступ к профессиональной поддержке для развития творческих способностей у детей и молодежи из различных регионов России, в том числе с небольшим числом жителей и удаленных; – укрепление культурных связей между регионами; – популяризация искусства, развитие интереса к культуре своей страны, расширение кругозора и формирование у подрастающего поколения уважения к творчеству.  Одна из проблем, с которой сталкивается ООО «Альянс талантов» в своей работе – средний уровень лояльности родительского сообщества к проводимым мероприятиям и создание собственного узнаваемого бренда.";Дети и молодежь, желающие попробовать свои силы в различных направлениях искусства (преимущественно, в вокале и хореографии).;Цель: проведение конкурентного анализа существующих творческих конкурсов и разработка стратегии повышения узнаваемости и престижности бренда «Альянс талантов». Для этого студентам предлагается проанализировать существующие аналогичные творческие конкурсы и выявить преимущества конкурсов, проводимых «Альянсом талантов», а также предложить коммуникационную стратегию по привлечению региональных и федеральных СМИ к освещению деятельности организации.;Сравнительный анализ сильных и слабых сторон мероприятий, проводимых «Альянсом талантов» (конкурсы, выездные программы в Москве и Санкт-Петербурге и т.д.), предложения по налаживанию сотрудничества со СМИ и другими внешними партнерами.;;;;
Отклонена;2025-02-18;"Муниципальное общеобразовательное учреждение """"Средняя общеобразовательная школа №15""""";Сетевая модель «ОО – СГУ им. Питирима Сорокина» по реализации образовательных программ психолого-педагогических классов « Я буду учителем»;Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями;Создание и развитие  открытой профессионально-образовательной среды  для  выявления и поддержки педагогически одаренных обучающихся посредством осуществления профессиональной педагогической ориентации обучающихся старших классов на освоение педагогических профессий;"1.Обучающиеся психолого-педагогических классов  2. Педагоги, работающие в психолого-педагогических классах 3. Студенты, обучающиеся по образовательным программам высшего образования по УГСН ""Образование и педагогические науки""";I направление работы: Научно-методическое сопровождение педагогов, организующих образовательный процесс в психолого-педагогических классах. II направление работы: Психолого-педагогическое обеспечение профессионального становления будущих педагогов при условии согласования личностных и социально-профессиональных  потребностей, обучающихся;Создание сетевой модели психолого-педагогического сопровождения профессионального самоопределения обучающихся и субъектной готовности педагогов и преподавателей университета в рамках социального партнерства в условиях непрерывного педагогического образования  позволит сформировать  интерес и готовность выпускников психолого-педагогических классов выбрать педагогическую деятельность в качестве своей будущей профессии, а университету получить студентов, которые впоследствии пойдут работать в образовательные организации, уже имея не только желание, но и необходимые компетенции.;;;;
Отклонена;2025-02-19;"Федеральное государственное образовательное учреждение высшего образования """"Новосибирский государственный университет экономики и управления """"НИНХ""""";Озеленения территории Новосибирска (Заельцовский парк);"Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения; Другое";Сохранение и восстановление зелёных насаждений Формирование экологической культуры у молодежи Создание долгосрочной модели взаимодействия между вузом, городскими структурами и жителями.;Студенты НГУЭУ и  жители Новосибирска Новосибирской области;1.Формирование команды 2. Определение целей и задач 3. Исследование и анализ 4. Разработка концепции мероприятия 5. Создание бюджета 6. Организация мероприятия 7. Проведение мероприятия 8. Отчетность и благодарности;Посадка деревьев и создание зелёной зоны Создание команды активных студентов и горожан, которые продолжат заниматься экологическими инициативами в будущем. Студенты НГУЭУ, школьники и жители города получат практический опыт в озеленении и благоустройстве, что повысит их экологическую ответственность и осознанность;;;;
Отклонена;2025-02-20;"Бюджетное учреждение ханты-мансийского автономного округа - югры """"Центр общественного здоровья и медицинской профилактики""""";Информирование школьников 11-13 лет по вопросам сохранения репродуктивного здоровья  «Репродуктивное здоровье девочек/мальчиков»;Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения;Занятия, организованные по подгруппам (отдельно мальчики и девочки) , в ходе которых школьникам будет предоставлена достоверная информация о  развитии организма в пубертатный период и о формировании репродуктивного здоровья в доступной им форме, с точки зрения медицинского обоснования, с учетом экспертного мнения профильных специалистов в сфере акушерства, гинекологии и урологии.;Обучающиеся средних общеобразовательных учреждений города Ханты-Мансийска в возрасте от 11 до 13 лет в количестве 209 человек.;1) На первом этапе учащиеся получают информацию о кратком понятии строения репродуктивной системы, о гигиенических нормах, факторах риска и способах защиты от них. 2) На основе полученной информации обучающиеся задают вопросы, связанные с темой сохранения репродуктивного здоровья и предупреждения факторов риска возникновения таких заболеваний.;1) Повышение информированности целевой аудитории благополучателей решаемой социальной задачи в вопросах развития и сохранения репродуктивного здоровья. 2) Повышение компетенций студентов профильного ВУЗ в части преподнесения материала в доступной форме.;;;;
Отклонена;2025-02-20;"Подразделение Благотворительного фонда """"Перезвон"""", добровольческая организация """"Благо"""".";"Повышение качества жизни пожилых людей в ""Богородском доме-интернате для престарелых и инвалидов""";Социальные исследования. Проекты, связанные с изучением социальных явлений и проблем, анализом данных и разработкой рекомендаций для улучшения социальной сферы;"У пожилых людей и инвалидов возникает множество проблем, не менее важными, чем медицинские, являются проблемы социального характера. К всеобщему сожалению, многие из пожилых людей и  инвалидов не имеют семей, родных и близких, в этом случае у них остается надежда  только на помощь со стороны социальных групп (соц. работников, волонтёров и  др.). Основная цель нашей работы - привлечение студентов направлений подготовки ""Социальная работа"" и ""Социология"" к оказанию моральной поддержки и созданию благоприятного климата для одиноких пожилых людей, находящихся в доме-интернате для престарелых людей.";Одинокие пожилые люди , проживающие в доме-интернате. Студенты, развивающие профессиональные компетенции по своему профилю и гибкие навыки.;"Привлечение внимания молодежи к проблемам людей пожилого возраста, содействие в  оказании моральной поддержки людям, проживающим в доме-интернате.  Проведение практических действий со стороны студентов: 1. Общение с пожилыми людьми в позитивном ключе, оказание моральной поддержки (чтение книг, обсуждение важных исторических событий, совместные прогулки и др.). 2. Проведение праздничных мероприятий для пожилых людей в доме-интернате . 3. Регулярное посещение студентами дома-интерната в рамках программы ""Обучение служением""";Для подопечных: улучшение общего эмоционального  фона, повышение удовлетворенности жизни у пожилых людей. Для студентов: предоставление практических возможностей и навыков осваиваемой  профессии по специальности. В ходе реализации проекта у студентов  сформированы следующие компетенции: способен предоставлять социальные услуги, социальное сопровождение, реализовывать меры социальной поддержки. Способен планировать деятельность по предоставлению социальной услуги.;;;;
Отклонена;2025-02-20;"Подразделение Благотворительного фонда """"Перезвон"""", добровольческая организация """"Благо"""".";Помощь СВОим;Социальные исследования. Проекты, связанные с изучением социальных явлений и проблем, анализом данных и разработкой рекомендаций для улучшения социальной сферы;Разработка патриотических установок и укрепление гражданской позиции молодежи посредством привлечения их к трудовой деятельности на благо нужд бойцов СВО.;Студенты ИвГУ. Участники СВО;"В рамках программы ""Обучение служением"" студенты направлений ""Социальная работа"" и ""Социология"" регулярно посещают НКО ""Благо"" для плетения маскировочных сетей и изготовления окопных свечей для бойцов СВО.";Изготовлены предметы оснащения и быта для нужд специальной военной операции. Развиты патриотические установки у студенческого сообщества.  В ходе реализации проекта у студентов сформированы следующие компетенции: формирование гражданской позиции и патриотических установок.;;;;
